Symbol,Price~,"Exp Date",Strike,Moneyness,Bid,"BE (Bid)",BE%,Volume,"Open Int",IV,Delta,"OTM Prob","Ptnl Rtn","Ann Rtn",Time
VSCO,28,2024-11-15,27.00,-3.57%,1.1,25.9,8.11%,133,1997,57.82%,0.363909,59.50%,4.2%,62.0%,"10:19 ET"
CELH,32.84,2024-11-01,30.00,-8.65%,0.55,29.45,11.51%,117,2052,68.74%,0.231638,77.58%,1.9%,62.0%,"10:36 ET"
PLTR,42.93,2024-11-01,41.50,-3.33%,0.76,40.74,5.38%,170,748,45.44%,0.328835,66.62%,1.9%,61.9%,"10:44 ET"
NVDA,141.24,2024-11-01,135.00,-4.42%,2.45,132.55,6.56%,5431,6855,48.66%,0.309684,70.36%,1.8%,61.3%,"10:45 ET"
LRCX,72.77,2024-11-15,70.00,-3.81%,2.81,67.19,8.30%,339,1880,53.76%,0.374178,60.87%,4.2%,61.1%,"10:17 ET"
SQ,74.25,2024-11-15,70.00,-5.72%,2.81,67.19,10.51%,888,1552,62.35%,0.324904,64.10%,4.2%,61.1%,"10:43 ET"
MSTR,213.05,2024-11-01,180.00,-15.51%,3.25,176.75,20.54%,114,689,106.24%,0.153404,81.96%,1.8%,61.0%,"10:39 ET"
TSLA,219.65,2024-11-01,205.00,-6.67%,3.7,201.3,9.12%,730,1428,61.20%,0.252376,74.21%,1.8%,61.0%,"10:44 ET"
MSFT,417.27,2024-11-01,410.00,-1.74%,7.35,402.65,3.63%,108,1775,35.70%,0.394676,61.16%,1.8%,60.6%,"10:40 ET"
TSLA,219.65,2024-11-15,210.00,-4.39%,8.35,201.65,8.93%,598,13288,55.76%,0.357704,62.09%,4.1%,60.5%,"10:43 ET"
NVDA,141.24,2024-11-08,135.00,-4.42%,3.9,131.1,7.73%,643,7328,51.64%,0.345091,65.32%,3.0%,60.3%,"10:44 ET"
SMCI,47.92,2025-01-17,45.00,-6.09%,5.6,39.4,21.62%,1222,19428,79.24%,0.359966,56.42%,14.2%,59.0%,"10:35 ET"
ZETA,26.81,2024-12-20,25.00,-6.75%,2.2,22.8,17.59%,104,1828,79.03%,0.346953,58.63%,9.6%,58.7%,"10:34 ET"
NVDA,141.24,2024-11-22,133.00,-5.83%,6.5,126.5,11.65%,109,1029,61.56%,0.345988,62.92%,5.1%,58.6%,"10:41 ET"
COIN,212.83,2024-11-01,182.50,-14.25%,3.1,179.4,18.63%,184,755,95.39%,0.160337,82.34%,1.7%,57.3%,"10:40 ET"
ONON,47.82,2024-11-15,45.00,-5.90%,1.69,43.31,10.41%,254,5405,60.59%,0.320741,64.93%,3.9%,57.0%,"10:40 ET"
NVDA,141.24,2024-11-29,135.00,-4.42%,7.7,127.3,10.95%,126,2922,58.11%,0.377344,59.40%,6.0%,56.6%,"10:44 ET"
BA,161.57,2024-11-01,155.00,-4.07%,2.6,152.4,6.02%,413,1472,49.47%,0.291063,68.56%,1.7%,56.6%,"10:42 ET"
TSM,202.5,2024-11-01,197.50,-2.47%,3.3,194.2,4.27%,553,733,37.77%,0.363473,64.85%,1.7%,56.4%,"10:42 ET"
GOOG,166.05,2024-11-01,160.00,-3.64%,2.67,157.33,5.54%,362,1179,43.88%,0.317903,68.69%,1.7%,56.3%,"10:43 ET"
NVDA,141.24,2024-11-15,136.00,-3.71%,5.05,130.95,7.86%,558,4490,49.55%,0.376344,61.47%,3.9%,56.3%,"10:44 ET"
AMZN,188.52,2024-11-01,180.00,-4.52%,2.97,177.03,6.49%,806,3549,48.22%,0.290194,70.97%,1.7%,55.7%,"10:44 ET"
NVDA,141.24,2024-11-08,134.00,-5.13%,3.55,130.45,8.27%,127,1412,52.05%,0.32243,67.55%,2.7%,55.2%,"10:40 ET"
EQT,36.43,2024-11-15,36.00,-1.18%,1.31,34.69,5.02%,102,385,39.56%,0.444676,54.57%,3.8%,55.1%,"10:37 ET"
MRNA,54.03,2024-12-20,50.00,-7.46%,4.15,45.85,17.84%,122,1024,71.19%,0.343742,60.59%,9.1%,55.1%,"10:42 ET"
TSLA,219.65,2024-11-08,205.00,-6.67%,5.4,199.6,10.05%,139,2919,58.97%,0.284521,70.10%,2.7%,54.9%,"10:44 ET"
SMCI,47.92,2024-11-01,40.00,-16.53%,0.65,39.35,21.78%,313,5525,102.93%,0.143848,84.40%,1.7%,54.8%,"10:42 ET"
MU,110.03,2024-11-01,105.00,-4.57%,1.69,103.31,6.50%,517,438,45.47%,0.300482,72.33%,1.6%,54.3%,"10:39 ET"
NVDA,141.24,2024-11-01,134.00,-5.13%,2.15,131.85,7.12%,2346,3913,48.95%,0.280295,73.21%,1.6%,54.1%,"10:44 ET"
META,572.72,2024-11-15,555.00,-3.09%,19.7,535.3,6.99%,319,1781,47.37%,0.376539,60.01%,3.7%,53.7%,"10:40 ET"
BABA,100.89,2024-11-01,98.00,-2.86%,1.56,96.44,4.61%,839,5173,39.46%,0.337602,66.43%,1.6%,53.7%,"10:42 ET"
DASH,151.55,2024-11-15,145.00,-4.32%,5.1,139.9,8.33%,184,569,52.09%,0.346116,62.71%,3.6%,53.2%,"10:43 ET"
DAL,55.19,2024-11-01,54.00,-2.16%,0.85,53.15,3.84%,285,547,36.29%,0.360079,63.53%,1.6%,53.1%,"10:38 ET"
AA,41.52,2024-11-15,40.00,-3.66%,1.4,38.6,7.56%,512,4041,49.80%,0.357273,61.26%,3.6%,53.0%,"10:37 ET"
NVDA,141.24,2024-11-15,135.00,-4.42%,4.7,130.3,8.40%,2683,15156,49.80%,0.355317,63.56%,3.6%,52.7%,"10:45 ET"
NVDA,141.24,2024-12-20,138.00,-2.29%,10.75,127.25,10.99%,325,5091,54.75%,0.418234,54.16%,8.4%,51.4%,"10:42 ET"
ASML,717.3,2024-11-01,700.00,-2.41%,10.6,689.4,4.05%,100,348,36.50%,0.351383,65.00%,1.5%,51.0%,"10:45 ET"
DKNG,37.16,2024-11-01,35.00,-5.81%,0.53,34.47,7.80%,154,1499,51.80%,0.261753,74.73%,1.5%,51.0%,"10:36 ET"
SBUX,96.57,2024-11-15,95.00,-1.63%,3.2,91.8,5.20%,127,7508,39.75%,0.417181,56.26%,3.5%,50.9%,"10:38 ET"
TSLA,219.65,2024-11-01,202.50,-7.81%,3.05,199.45,10.13%,206,451,61.37%,0.217476,77.73%,1.5%,50.7%,"10:43 ET"
TLN,177,2024-11-15,155.00,-12.43%,5.2,149.8,18.16%,330,280,78.33%,0.237134,74.13%,3.5%,50.7%,"10:21 ET"
COIN,212.83,2024-11-01,180.00,-15.43%,2.7,177.3,20.04%,306,1155,96.12%,0.142431,84.23%,1.5%,50.5%,"10:38 ET"
FCX,48.11,2024-11-15,47.00,-2.31%,1.57,45.43,5.90%,503,6555,42.00%,0.394671,58.41%,3.5%,50.5%,"10:30 ET"
SIRI,27.28,2024-11-15,26.00,-4.69%,0.86,25.14,8.51%,114,646,56.39%,0.329026,62.77%,3.4%,49.9%,"10:32 ET"
SMCI,47.92,2024-12-20,41.00,-14.44%,3.1,37.9,26.44%,220,10230,83.20%,0.265226,67.81%,8.2%,49.8%,"10:40 ET"
ENPH,90.96,2024-11-15,75.00,-17.55%,2.46,72.54,25.39%,147,1426,94.74%,0.182358,78.18%,3.4%,49.5%,"10:22 ET"
NVDA,141.24,2024-11-22,130.00,-7.96%,5.4,124.6,13.35%,1074,5856,61.97%,0.301688,67.44%,4.3%,49.4%,"10:45 ET"
AMZN,188.52,2024-11-15,185.00,-1.87%,6.05,178.95,5.35%,278,10864,39.03%,0.415049,57.32%,3.4%,49.4%,"10:42 ET"
NVDA,141.24,2024-11-15,134.00,-5.13%,4.35,129.65,8.94%,487,5657,50.16%,0.335017,65.57%,3.4%,49.0%,"10:44 ET"
HOOD,26.4,2025-01-17,26.00,-1.52%,2.74,23.26,13.50%,109,1226,60.80%,0.408358,52.04%,11.8%,48.9%,"10:28 ET"
PLTR,42.93,2024-11-15,38.00,-11.48%,1.23,36.77,16.75%,214,9202,73.64%,0.233509,73.66%,3.3%,48.8%,"10:44 ET"
META,572.72,2024-11-15,550.00,-3.97%,17.75,532.25,7.60%,140,1880,47.54%,0.34942,62.75%,3.3%,48.7%,"10:39 ET"
PLTR,42.93,2024-11-01,41.00,-4.50%,0.59,40.41,6.24%,282,1864,45.83%,0.27666,71.84%,1.5%,48.4%,"10:42 ET"
AMD,156.3,2024-11-15,145.00,-7.23%,4.65,140.35,11.36%,137,10549,56.16%,0.300082,69.52%,3.3%,48.4%,"10:44 ET"
SYF,56.15,2024-11-15,55.00,-2.05%,1.75,53.25,5.45%,581,1762,43.71%,0.391679,57.18%,3.3%,48.0%,"10:44 ET"
TSLA,219.65,2024-11-15,205.00,-6.67%,6.5,198.5,10.65%,196,7213,56.03%,0.298564,68.11%,3.3%,47.8%,"10:43 ET"
NFLX,762.67,2024-11-01,755.00,-1.01%,10.7,744.3,2.47%,186,386,26.56%,0.421677,58.67%,1.4%,47.7%,"10:39 ET"
SMCI,47.92,2024-11-15,38.00,-20.70%,1.2,36.8,30.22%,144,7563,101.56%,0.161888,80.86%,3.3%,47.6%,"10:35 ET"
NVDA,141.24,2024-11-01,133.00,-5.83%,1.88,131.12,7.72%,761,6741,49.20%,0.252265,75.92%,1.4%,47.6%,"10:44 ET"
NVDA,141.24,2024-12-20,136.00,-3.71%,9.8,126.2,11.92%,112,4211,54.88%,0.392487,56.75%,7.8%,47.2%,"10:28 ET"
UAL,74.33,2024-11-01,72.00,-3.13%,1,71,4.69%,143,449,40.24%,0.312876,67.58%,1.4%,46.7%,"10:35 ET"
NXPI,230.2,2024-11-15,220.00,-4.43%,6.8,213.2,7.97%,102,430,47.58%,0.339294,64.21%,3.2%,46.6%,"10:35 ET"
NVDA,141.24,2024-11-08,132.00,-6.54%,2.96,129.04,9.45%,346,1311,52.34%,0.278043,71.98%,2.3%,46.5%,"10:44 ET"
NVDA,141.24,2024-11-22,129.00,-8.67%,5.05,123.95,13.95%,201,444,62.10%,0.28738,68.90%,4.1%,46.5%,"10:42 ET"
PDD,125.44,2024-11-15,120.00,-4.34%,3.7,116.3,7.86%,924,14703,47.24%,0.33747,64.00%,3.2%,46.4%,"10:27 ET"
AAPL,235.67,2024-11-01,232.50,-1.35%,3.2,229.3,2.78%,246,1433,29.24%,0.378249,60.52%,1.4%,46.3%,"10:44 ET"
FUTU,91.81,2024-12-20,85.00,-7.42%,6,79,16.22%,100,1160,65.03%,0.334229,61.50%,7.6%,46.2%,"09:50 ET"
TSLA,219.65,2024-12-20,215.00,-2.12%,15.15,199.85,9.91%,174,3546,50.46%,0.416147,54.16%,7.6%,46.1%,"10:44 ET"
DKNG,37.16,2024-11-15,33.00,-11.19%,1.01,31.99,16.16%,252,873,70.12%,0.238311,74.12%,3.2%,46.1%,"10:40 ET"
MU,110.03,2024-11-01,104.00,-5.48%,1.4,102.6,7.24%,124,268,45.83%,0.261044,76.07%,1.4%,45.3%,"10:42 ET"
NVDA,141.24,2024-12-20,135.00,-4.42%,9.35,125.65,12.41%,568,16883,54.90%,0.379729,58.04%,7.4%,45.3%,"10:44 ET"
CSGP,78.25,2024-11-15,75.00,-4.15%,2.25,72.75,7.56%,292,541,45.13%,0.349351,64.03%,3.1%,45.2%,"10:08 ET"
UAL,74.33,2024-11-15,72.50,-2.46%,2.14,70.36,5.64%,138,796,38.14%,0.389899,59.86%,3.0%,44.4%,"10:43 ET"
SNOW,120.26,2024-12-20,115.00,-4.37%,7.75,107.25,12.13%,176,2592,55.03%,0.373282,57.94%,7.2%,44.0%,"10:34 ET"
BKR,36.51,2024-11-15,36.00,-1.40%,1.05,34.95,4.46%,581,373,36.34%,0.413986,55.88%,3.0%,43.9%,"10:29 ET"
NVDA,141.24,2024-11-29,130.00,-7.96%,5.8,124.2,13.72%,185,2272,58.94%,0.305835,66.66%,4.7%,43.7%,"10:41 ET"
VRT,112.26,2024-11-15,100.00,-10.92%,2.9,97.1,15.61%,143,1231,67.70%,0.230185,74.30%,3.0%,43.6%,"10:39 ET"
VSCO,28,2024-11-15,26.00,-7.14%,0.75,25.25,10.89%,133,739,58.76%,0.27723,68.50%,3.0%,43.4%,"10:26 ET"
